Date,World,Africa,Asia,Europe,North_America,Oceania,South_America
8/07/2020,215079,14743,53896,13967,71759,173,60541
9/07/2020,224356,19190,57629,13526,72469,325,61217
10/07/2020,232893,17705,56448,14480,80521,180,63559
11/07/2020,212594,18786,55351,13545,71294,245,53373
12/07/2020,192725,16717,54854,11555,69590,183,39826
13/07/2020,194262,16069,56413,14234,69067,272,38207
14/07/2020,220815,14450,54987,12797,77413,238,60930
15/07/2020,229657,18032,60506,14194,78650,325,57950
16/07/2020,244765,20445,60908,15135,82538,424,65315
17/07/2020,237335,19539,64072,16069,79148,213,58294
18/07/2020,235176,19012,74203,13383,80797,365,47416
19/07/2020,211768,18569,68567,11605,69741,269,43017
20/07/2020,208027,15512,61481,17476,70959,363,42236
21/07/2020,242952,13879,65543,14347,79787,474,68922
22/07/2020,275114,19609,71699,15591,78832,411,88972
23/07/2020,279461,18470,79846,17312,82584,295,80954
24/07/2020,283287,22095,75080,17436,88383,356,79937
25/07/2020,249310,18144,74403,13705,77033,460,65565
26/07/2020,211579,18308,72899,12633,67398,555,39786
27/07/2020,234118,13454,69254,21334,69871,369,59836
28/07/2020,263637,13501,77989,15107,76343,282,80415
29/07/2020,270044,17640,77892,18039,75523,717,80233
30/07/2020,281505,17417,80915,19599,82683,605,80286
31/07/2020,287228,19002,88553,19534,78668,388,81083
1/08/2020,246024,16922,77552,14559,72870,637,63484
2/08/2020,230358,12734,81768,12692,55954,444,66766
3/08/2020,205823,10864,75189,24446,50591,413,44320
4/08/2020,265089,9920,79338,20371,72906,722,81832
5/08/2020,274934,15359,85832,19725,66146,484,87388
6/08/2020,286522,14330,90727,21651,71858,392,87564
7/08/2020,282251,13489,90716,23328,73230,456,81032
8/08/2020,265039,14222,91079,15374,75702,387,68275
9/08/2020,232807,12357,86617,13669,62620,339,57205
10/08/2020,233048,9132,81338,26249,61546,360,54423
11/08/2020,265389,7875,85846,20273,68366,414,82615
12/08/2020,274871,9256,95428,22349,66191,350,81297
